Идентификатор проблемы,Описание,Состояние,Серьезность,Баллы истории,Путь к проекту,Вид расположения,Путь,Линейная,Столбец,Идентификатор инцидента,Ссылка на справку,Имя сборки,Версия сборки,Открытый ключ сборки,Фрагмент
NuGet.0002,Рекомендуется обновить пакет NuGet,Active,Potential,1,StudHunter.API\StudHunter.API.csproj,File,StudHunter.API\StudHunter.API.csproj,,,Microsoft.AspNetCore.Authentication.JwtBearer 8.0.19,,,,,"Microsoft.AspNetCore.Authentication.JwtBearer, 8.0.19  Рекомендация:  Remove Microsoft.AspNetCore.Authentication.JwtBearer, and replace with new package Microsoft.AspNetCore.Authentication.JwtBearer 10.0.1"
NuGet.0002,Рекомендуется обновить пакет NuGet,Active,Potential,1,StudHunter.API\StudHunter.API.csproj,File,StudHunter.API\StudHunter.API.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.8,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.8  Рекомендация:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.1"
NuGet.0002,Рекомендуется обновить пакет NuGet,Active,Potential,1,StudHunter.API\StudHunter.API.csproj,File,StudHunter.API\StudHunter.API.csproj,,,Microsoft.EntityFrameworkCore.Tools 9.0.8,,,,,"Microsoft.EntityFrameworkCore.Tools, 9.0.8  Рекомендация:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.1"
NuGet.0002,Рекомендуется обновить пакет NuGet,Active,Potential,1,StudHunter.API\StudHunter.API.csproj,File,StudHunter.API\StudHunter.API.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 9.0.0,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 9.0.0  Рекомендация:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.0"
Project.0002,Необходимо изменить целевые платформы проекта,Active,Mandatory,1,StudHunter.API\StudHunter.API.csproj,File,StudHunter.API\StudHunter.API.csproj,,,,,,,,Текущая целевая платформа: net8.0 Рекомендуемая целевая платформа: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,StudHunter.API\StudHunter.API.csproj,File,StudHunter.API\Services\AuthService.cs,141,8,T:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler,,,,,return new JwtSecurityTokenHandler().WriteToken(token);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,StudHunter.API\StudHunter.API.csproj,File,StudHunter.API\Services\AuthService.cs,141,8,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.#ctor,,,,,return new JwtSecurityTokenHandler().WriteToken(token);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,StudHunter.API\StudHunter.API.csproj,File,StudHunter.API\Services\AuthService.cs,141,8,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.WriteToken(Microsoft.IdentityModel.Tokens.SecurityToken),,,,,return new JwtSecurityTokenHandler().WriteToken(token);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,StudHunter.API\StudHunter.API.csproj,File,StudHunter.API\Services\AuthService.cs,134,8,T:System.IdentityModel.Tokens.Jwt.JwtSecurityToken,,,,,"var token = new JwtSecurityToken(          issuer: issuer,          audience: audience,          claims: claims,          expires: DateTime.Now.AddDays(1),          signingCredentials: creds);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,StudHunter.API\StudHunter.API.csproj,File,StudHunter.API\Services\AuthService.cs,134,8,"M:System.IdentityModel.Tokens.Jwt.JwtSecurityToken.#ctor(System.String,System.String,System.Collections.Generic.IEnumerable{System.Security.Claims.Claim},System.Nullable{System.DateTime},System.Nullable{System.DateTime},Microsoft.IdentityModel.Tokens.SigningCredentials)",,,,,"var token = new JwtSecurityToken(          issuer: issuer,          audience: audience,          claims: claims,          expires: DateTime.Now.AddDays(1),          signingCredentials: creds);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,StudHunter.API\StudHunter.API.csproj,File,StudHunter.API\Program.cs,29,4,P:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerOptions.TokenValidationParameters,,,,,"options.TokenValidationParameters = new TokenValidationParameters      {          ValidateIssuer = true,          ValidateAudience = true,          ValidateLifetime = true,          ValidateIssuerSigningKey = true,          ValidIssuer = builder.Configuration[""Jwt:Issuer""],          ValidAudience = builder.Configuration[""Jwt:Audience""],          IssuerSigningKey = new SymmetricSecurityKey(Encoding.UTF8.GetBytes(builder.Configuration[""Jwt:Key""] ?? throw new InvalidOperationException(""JWT Key is not configured"")))      };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,StudHunter.API\StudHunter.API.csproj,File,StudHunter.API\Program.cs,26,4,T:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults,,,,,options.DefaultChallengeScheme = JwtBearerDefaults.AuthenticationScheme;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,StudHunter.API\StudHunter.API.csproj,File,StudHunter.API\Program.cs,26,4,F:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults.AuthenticationScheme,,,,,options.DefaultChallengeScheme = JwtBearerDefaults.AuthenticationScheme;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,StudHunter.API\StudHunter.API.csproj,File,StudHunter.API\Program.cs,25,4,T:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults,,,,,options.DefaultAuthenticateScheme = JwtBearerDefaults.AuthenticationScheme;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,StudHunter.API\StudHunter.API.csproj,File,StudHunter.API\Program.cs,25,4,F:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults.AuthenticationScheme,,,,,options.DefaultAuthenticateScheme = JwtBearerDefaults.AuthenticationScheme;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,StudHunter.API\StudHunter.API.csproj,File,StudHunter.API\Program.cs,23,0,T:Microsoft.Extensions.DependencyInjection.JwtBearerExtensions,,,,,"builder.Services.AddAuthentication(options =>  {      options.DefaultAuthenticateScheme = JwtBearerDefaults.AuthenticationScheme;      options.DefaultChallengeScheme = JwtBearerDefaults.AuthenticationScheme;  }).AddJwtBearer(options =>  {      options.TokenValidationParameters = new TokenValidationParameters      {          ValidateIssuer = true,          ValidateAudience = true,          ValidateLifetime = true,          ValidateIssuerSigningKey = true,          ValidIssuer = builder.Configuration[""Jwt:Issuer""],          ValidAudience = builder.Configuration[""Jwt:Audience""],          IssuerSigningKey = new SymmetricSecurityKey(Encoding.UTF8.GetBytes(builder.Configuration[""Jwt:Key""] ?? throw new InvalidOperationException(""JWT Key is not configured"")))      };  });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,StudHunter.API\StudHunter.API.csproj,File,StudHunter.API\Program.cs,23,0,"M:Microsoft.Extensions.DependencyInjection.JwtBearerExtensions.AddJwtBearer(Microsoft.AspNetCore.Authentication.AuthenticationBuilder,System.Action{Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerOptions})",,,,,"builder.Services.AddAuthentication(options =>  {      options.DefaultAuthenticateScheme = JwtBearerDefaults.AuthenticationScheme;      options.DefaultChallengeScheme = JwtBearerDefaults.AuthenticationScheme;  }).AddJwtBearer(options =>  {      options.TokenValidationParameters = new TokenValidationParameters      {          ValidateIssuer = true,          ValidateAudience = true,          ValidateLifetime = true,          ValidateIssuerSigningKey = true,          ValidIssuer = builder.Configuration[""Jwt:Issuer""],          ValidAudience = builder.Configuration[""Jwt:Audience""],          IssuerSigningKey = new SymmetricSecurityKey(Encoding.UTF8.GetBytes(builder.Configuration[""Jwt:Key""] ?? throw new InvalidOperationException(""JWT Key is not configured"")))      };  });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,StudHunter.API\StudHunter.API.csproj,File,StudHunter.API\Program.cs,15,4,M:Microsoft.Extensions.Logging.ConsoleLoggerExtensions.AddConsole(Microsoft.Extensions.Logging.ILoggingBuilder),,,,,logging.AddConsole();
NuGet.0002,Рекомендуется обновить пакет NuGet,Active,Potential,1,StudHunter.DB.Postgres\StudHunter.DB.Postgres.csproj,File,StudHunter.DB.Postgres\StudHunter.DB.Postgres.csproj,,,Microsoft.EntityFrameworkCore 9.0.8,,,,,"Microsoft.EntityFrameworkCore, 9.0.8  Рекомендация:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.1"
NuGet.0002,Рекомендуется обновить пакет NuGet,Active,Potential,1,StudHunter.DB.Postgres\StudHunter.DB.Postgres.csproj,File,StudHunter.DB.Postgres\StudHunter.DB.Postgres.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.8,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.8  Рекомендация:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.1"
NuGet.0002,Рекомендуется обновить пакет NuGet,Active,Potential,1,StudHunter.DB.Postgres\StudHunter.DB.Postgres.csproj,File,StudHunter.DB.Postgres\StudHunter.DB.Postgres.csproj,,,Microsoft.Extensions.Configuration 9.0.8,,,,,"Microsoft.Extensions.Configuration, 9.0.8  Рекомендация:  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 10.0.1"
NuGet.0002,Рекомендуется обновить пакет NuGet,Active,Potential,1,StudHunter.DB.Postgres\StudHunter.DB.Postgres.csproj,File,StudHunter.DB.Postgres\StudHunter.DB.Postgres.csproj,,,Microsoft.Extensions.Configuration.FileExtensions 9.0.8,,,,,"Microsoft.Extensions.Configuration.FileExtensions, 9.0.8  Рекомендация:  Remove Microsoft.Extensions.Configuration.FileExtensions, and replace with new package Microsoft.Extensions.Configuration.FileExtensions 10.0.1"
NuGet.0002,Рекомендуется обновить пакет NuGet,Active,Potential,1,StudHunter.DB.Postgres\StudHunter.DB.Postgres.csproj,File,StudHunter.DB.Postgres\StudHunter.DB.Postgres.csproj,,,Microsoft.Extensions.Configuration.Json 9.0.8,,,,,"Microsoft.Extensions.Configuration.Json, 9.0.8  Рекомендация:  Remove Microsoft.Extensions.Configuration.Json, and replace with new package Microsoft.Extensions.Configuration.Json 10.0.1"
